LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,date,cci_value,Flag Codes
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-01-01,101.9879,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-02-01,101.7652,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-03-01,101.5893,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-04-01,101.4036,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-05-01,101.1933,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-06-01,101.1218,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-07-01,101.0995,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-08-01,101.0027,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-09-01,100.8776,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-10-01,100.5923,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-11-01,100.1267,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2014-12-01,99.62684,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-01-01,98.98242,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-02-01,98.42475,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-03-01,98.11788,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-04-01,98.04127,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-05-01,97.96743,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-06-01,97.769,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-07-01,97.42677,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-08-01,97.04696,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-09-01,96.67671,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-10-01,96.50282,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-11-01,96.46473,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2015-12-01,96.46134,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-01-01,96.52084,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-02-01,96.60647,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-03-01,96.63939,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-04-01,96.80815,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-05-01,97.23941,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-06-01,97.76335,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-07-01,98.2726,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-08-01,98.64272,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-09-01,98.81564,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-10-01,98.77522,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-11-01,98.55537,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2016-12-01,98.39576,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-01-01,98.58298,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-02-01,98.91882,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-03-01,99.22443,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-04-01,99.36663,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-05-01,99.4297,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-06-01,99.39207,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-07-01,99.34319,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-08-01,99.37289,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-09-01,99.55448,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-10-01,99.78332,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-11-01,99.97388,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2017-12-01,100.0943,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-01-01,100.1898,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-02-01,100.2952,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-03-01,100.4054,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-04-01,100.3203,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-05-01,100.0945,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-06-01,99.80962,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-07-01,99.6684,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-08-01,99.62103,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-09-01,99.72048,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-10-01,100.1039,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-11-01,100.6793,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2018-12-01,101.0713,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2019-01-01,101.2473,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2019-02-01,101.1257,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2019-03-01,100.7783,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2019-04-01,100.4206,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2019-05-01,100.1658,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2019-06-01,100.1862,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2019-07-01,100.3246,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2019-08-01,100.4701,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2019-09-01,100.5343,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2019-10-01,100.5861,
BRA,CCI,AMPLITUD,LTRENDIDX,M,2019-11-01,100.6717,
