LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,date,inflation_value,Flag Codes
BRA,CPI,TOT,AGRWTH,M,2016-09-01,8.475968,
BRA,CPI,TOT,AGRWTH,M,2016-10-01,7.873671,
BRA,CPI,TOT,AGRWTH,M,2016-11-01,6.987383,
BRA,CPI,TOT,AGRWTH,M,2016-12-01,6.287988,
BRA,CPI,TOT,AGRWTH,M,2017-01-01,5.354015,
BRA,CPI,TOT,AGRWTH,M,2017-02-01,4.758907,
BRA,CPI,TOT,AGRWTH,M,2017-03-01,4.571105,
BRA,CPI,TOT,AGRWTH,M,2017-04-01,4.082517,
BRA,CPI,TOT,AGRWTH,M,2017-05-01,3.597256,
BRA,CPI,TOT,AGRWTH,M,2017-06-01,2.998557,
BRA,CPI,TOT,AGRWTH,M,2017-07-01,2.711626,
BRA,CPI,TOT,AGRWTH,M,2017-08-01,2.455909,
BRA,CPI,TOT,AGRWTH,M,2017-09-01,2.537691,
BRA,CPI,TOT,AGRWTH,M,2017-10-01,2.701321,
BRA,CPI,TOT,AGRWTH,M,2017-11-01,2.803785,
BRA,CPI,TOT,AGRWTH,M,2017-12-01,2.947421,
BRA,CPI,TOT,AGRWTH,M,2018-01-01,2.855116,
BRA,CPI,TOT,AGRWTH,M,2018-02-01,2.844894,
BRA,CPI,TOT,AGRWTH,M,2018-03-01,2.680803,
BRA,CPI,TOT,AGRWTH,M,2018-04-01,2.762797,
BRA,CPI,TOT,AGRWTH,M,2018-05-01,2.855013,
BRA,CPI,TOT,AGRWTH,M,2018-06-01,4.391104,
BRA,CPI,TOT,AGRWTH,M,2018-07-01,4.484844,
BRA,CPI,TOT,AGRWTH,M,2018-08-01,4.193016,
BRA,CPI,TOT,AGRWTH,M,2018-09-01,4.525976,
